airport_name,alt,lon,Delay
Aberdeen Regional Airport,1302,-98.4218,92303
Abilene Rgnl,1791,-99.681897,92303
Abraham Lincoln Capital,597,-89.677889,92303
Acadiana Rgnl,24,-91.883896,92303
Adak Airport,18,-176.646,92303
Adams Fld,262,-92.224306,92303
Addison,644,-96.8364478,92303
Adirondack Regional Airport,1663,-74.2062,92303
Akhiok Airport,44,-154.1825,92303
Akiak Airport,30,-161.230556,92303
Akron Canton Regional Airport,1228,-81.4421944,92303
Akron Fulton Intl,1067,-81.466917,92303
Akutan Seaplane Base,0,-165.785,92303
Alakanuk Airport,10,-164.66,92303
Alamogordo White Sands Regional Airport,4200,-105.991,92303
Albany Intl,285,-73.801692,92303
Albert J Ellis,94,-77.612139,92303
Albert Whitted,7,-82.626972,92303
Albuquerque International Sunport,5355,-106.6091944,92303
Aleknagik Airport,66,-158.618,92303
Alexander Field South Wood County Airport,1021,-89.8381412,92303
Alexandria,1,-77.0621,92303
Alexandria Intl,89,-92.549833,92303
Alice Intl,178,-98.026944,92303
Alitak Seaplane Base,0,-154.247778,92303
All Airports,25,-77.035278,92303
All Airports,31,-74.005833,92303
All Airports,596,-87.631667,92303
Allakaket Airport,441,-152.6222,92303
Allegheny County Airport,1252,-79.9302,92303
Allen Aaf,1291,-145.721642,92303
Alliance Municipal Airport,3931,-102.803889,92303
Alpena County Regional Airport,689,-83.5603,92303
Altoona Blair Co,1504,-78.320022,92303
Altus Afb,1382,-99.266681,92303
Ambler Airport,334,-157.8575,92303
Amherst Amtrak Station AMM,258,-72.511389,92303
Amook Bay Seaplane Base,0,-153.815278,92303
Anacortes Airport,241,-122.6625,92303
Anaktuvuk Pass Airport,2103,-151.743,92303
Anderson Rgnl,782,-82.709389,92303
Andrau Airport,80,-95.35,92303
Andrews Afb,280,-76.867028,92303
Angelina Co,296,-94.75,92303
Angoon Seaplane Base,0,-134.585,92303
Aniak Airport,88,-159.543,92303
Ankeny Regl Airport,910,-93.566389,92303
Ann Arbor Municipal Airport,839,-83.444418,92303
Annette Island,119,-131.572233,92303
Anniston Metro,612,-85.858111,92303
Anvik Airport,309,-160.191,92303
Apalachicola Regional Airport,20,-85.0274416,92303
Apopka,143,-81.581667,92303
Appleton,680,-88.507576,92303
Aransas County Airport,24,-97.0436944,92303
Arcata,221,-124.108611,92303
Arctic Village Airport,2092,-145.579,92303
Ardmore Muni,762,-97.008889,92303
Arkansas Intl,254,-89.943956,92303
Arlington Municipal,628,-97.0942778,92303
Arnold Palmer Regional Airport,1185,-79.4048,92303
Arthur Dunn Airpark,30,-80.83541,92303
Asheville Regional Airport,2165,-82.541806,92303
Ashland County Airport,1206,-82.2556389,92303
Aspen Pitkin County Sardy Field,7820,-106.869,92303
Astoria Regional Airport,15,-123.878694,92303
Athens Ben Epps Airport,808,-83.3263,92303
Atka Airport,56,-174.206389,92303
Atlanta Regional Airport - Falcon Field,808,-84.5718333,92303
Atlantic City Intl,75,-74.577167,92303
Atlantic City Rail Terminal,8,-74.442,92303
Atmautluak Airport,18,-162.273056,92303
Atqasuk Edward Burnell Sr Memorial Airport,96,-157.436,92303
Auburn University Regional,777,-85.2604,92303
Augusta Rgnl At Bush Fld,144,-81.9645,92303
Augusta State,352,-69.797317,92303
Austin Bergstrom Intl,542,-97.669889,92303
Austin Straubel Intl,695,-88.129589,92303
Avalon,1602,-118.415833,92303
Bagdad Airport,4183,-113.170195,92303
Baldwin County Airport,385,-83.2414139,92303
Baltimore Washington Intl,146,-76.668333,92303
Bamberg County Airport,231,-81.1084167,92303
Bangor Intl,192,-68.828139,92303
Banks Airport,100,-68.4281667,92303
Baraboo Wisconsin Dells Airport,979,-89.7709266,92303
Barking Sands Pmrf,23,-159.785,92303
Barkley Regional Airport,410,-88.7729583,92303
Barksdale Afb,166,-93.662674,92303
Barnes Municipal,270,-72.715875,92303
Barnstable Muni Boardman Polando Fld,55,-70.280356,92303
Barrow County Airport,943,-83.6674167,92303
Barter Island Lrrs,2,-143.581867,92303
Bartow Municipal Airport,125,-81.7834,92303
Barwick Lafayette Airport,777,-85.2903319,92303
Baton Rouge Metro Ryan Fld,70,-91.149639,92303
Baudette Intl,1086,-94.612222,92303
Beale Afb,113,-121.436567,92303
Beaufort,37,-80.723161,92303
Beaumont Municipal,32,-94.2150967,92303
Beauregard Rgnl,202,-93.339917,92303
Beaver Airport,359,-147.406667,92303
Beaver Falls,1253,-80.3914444,92303
Beech Factory Airport,1409,-97.2149167,92303
Bellingham Intl,170,-122.537528,92303
Bemidji Regional Airport,1391,-94.934722,92303
Bermuda Dunes Airport,73,-116.2748133,92303
Bert Mooney Airport,5550,-112.497472,92303
Bessemer,700,-86.5558,92303
Bethel,121,-161.838,92303
Bettles,644,-151.529056,92303
Beverly Municipal Airport,107,-70.9161444,92303
Bicycle Lake Aaf,2350,-116.630031,92303
Big Bear City,6725,-116.8560278,92303
Big Mountain Afs,663,-155.258822,92303
Big Timber Airport,4492,-109.9811111,92303
Biggs Aaf,3948,-106.380039,92303
Billings Logan International Airport,3652,-108.537654,92303
Birch Creek Airport,450,-145.815319,92303
Birmingham Intl,644,-86.75355,92303
Bisbee Douglas Intl,4154,-109.603667,92303
Bishop International,782,-83.743629,92303
Bismarck Municipal Airport,1661,-100.757931,92303
Black Hills Airport-Clyde Ice Field,3931,-103.7860053,92303
Black Rock,6454,-108.791778,92303
Blakely Island Airport,0,-122.80243,92303
Block Island State Airport,108,-71.577778,92303
Bloyer Field,966,-90.4806111,92303
Blue Grass,979,-84.605889,92303
Blythe Airport,399,-114.716889,92303
Bob Baker Memorial Airport,166,-160.436667,92303
Bob Hope,778,-118.358667,92303
Bob Sikes,213,-86.522111,92303
Boca Raton,13,-80.107694,92303
Boeing Fld King Co Intl,21,-122.301947,92303
Boire Field Airport,199,-71.5147778,92303
Boise Air Terminal,2871,-116.222861,92303
Bolton Field,905,-83.136944,92303
Boone Co,1365,-93.154728,92303
Borrego Valley Airport,520,-116.3209722,92303
Boston Back Bay Station,20,-71.075,92303
Boulder City Municipal Airport,2201,-114.514,92303
Boulder Municipal,5288,-105.225833,92303
Bowerman Field,18,-123.9365556,92303
Bowling Green-Warren County Regional Airport,547,-86.4196667,92303
Bowman Fld,546,-85.663722,92303
Braceville Airport,900,-80.9692572,92303
Brackett Field,1014,-117.7817778,92303
Bradford Regional Airport,2143,-78.6401,92303
Bradley Intl,173,-72.683222,92303
Bradshaw Aaf,6190,-155.553717,92303
Brainerd Lakes Rgnl,1226,-94.138078,92303
Branch County Memorial Airport,959,-85.0522935,92303
Brandywine Airport,466,-75.3455,92303
Branson LLC,1302,-93.200556,92303
Bremerton National,444,-122.764814,92303
Brevig Mission Airport,35,-166.465833,92303
Brigham City,4229,-112.062,92303
Brookings Regional Airport,1648,-96.8169,92303
Brooks Field Airport,941,-84.9554443,92303
Brown Field Municipal Airport,526,-116.9801611,92303
Brownsville South Padre Island Intl,22,-97.425861,92303
Brunswick Golden Isles Airport,26,-81.4665,92303
Bryant Ahp,378,-149.653119,92303
Bryce Canyon,7590,-112.145806,92303
Buchanan Field Airport,26,-122.0568889,92303
Buckeye Municipal Airport,1033,-112.68618,92303
Buckland Airport,31,-161.149167,92303
Buckley Afb,5662,-104.75166,92303
Buffalo Niagara Intl,724,-78.732167,92303
Burke Lakefront Airport,583,-81.683333,92303
Burlington Intl,335,-73.153278,92303
Burlington-Alamance Regional Airport,617,-79.4748892,92303
Burrello-Mechanicville Airport,195,-73.66845,92303
Butts Aaf,5838,-104.756581,92303
Cairo-Grady County Airport,265,-84.1547353,92303
Caldwell Essex County Airport,172,-74.2813611,92303
Calexico Intl,4,-115.51333,92303
Cambridge Municipal Airport,799,-81.5775833,92303
Camp Mabry Austin City,0,-97.7666,92303
Campbell Aaf,573,-87.496183,92303
Cannon Afb,4295,-103.322147,92303
Canyonlands Field,4555,-109.754722,92303
Cape Girardeau Regional Airport,342,-89.5708,92303
Cape Lisburne Lrrs,12,-166.110022,92303
Cape May Co,23,-74.908275,92303
Cape Newenham Lrrs,541,-162.062778,92303
Cape Romanzof Lrrs,457,-166.038747,92303
Capital City,861,-84.587357,92303
Capital City Airport,347,-76.8513611,92303
Capital City Airport,812,-84.9061389,92303
Carbon County Regional-Buck Davis Field,5957,-110.75278,92303
Caribou Muni,626,-68.017917,92303
Cartersville Airport,759,-84.8487067,92303
Casa Grande Municipal Airport,1464,-111.766832,92303
Castle,189,-120.568189,92303
Cavern City Air Terminal,3295,-104.263278,92303
Cecil Field,81,-81.8767,92303
Cedar City Rgnl,5622,-113.098847,92303
Cedar Rapids,869,-91.710806,92303
CedarKey,11,-83.0504722,92303
Centennial,5883,-104.849294,92303
Central Airport,937,-144.780833,92303
Central Illinois Rgnl,871,-88.915917,92303
Central Nebraska Regional Airport,1847,-98.3096,92303
Central Wisconsin,840,-89.646635,92303
Centre-Piedmont-Cherokee County Regional Airport,595,-85.6100833,92303
Chadron Municipal Airport,3297,-103.095556,92303
Chalkyitsik Airport,544,-143.74,92303
Champaign,754,-88.278056,92303
Chan Gurney,1200,-97.3969,92303
Charles M Schulz Sonoma Co,125,-122.81288,92303
Charleston Afb Intl,45,-80.040528,92303
Charlevoix Municipal Airport,669,-85.2753333,92303
Charlotte County-Punta Gorda Airport,26,-81.990556,92303
Charlotte Douglas Intl,748,-80.943139,92303
Charlottesville-Albemarle,639,-78.452861,92303
Chatham Seaplane Base,0,-134.946111,92303
Chatsworth Station,978,-118.598889,92303
Chautauqua County-Dunkirk Airport,693,-79.2720417,92303
Chautauqua County-Jamestown,525,-79.258056,92303
Chefornak Airport,40,-164.285556,92303
Chehalis-Centralia,177,-122.5897,92303
Chemehuevi Valley,638,-114.431971,92303
Chenega Bay Airport,72,-147.991944,92303
Cherokee County Airport,1219,-84.4221556,92303
Cherry Capital Airport,624,-85.582235,92303
Cherry Point Mcas,29,-76.880733,92303
Chester County G O Carlson Airport,660,-75.8654,92303
Chevak Airport,75,-165.584,92303
Cheyenne Rgnl Jerry Olson Fld,6156,-104.811839,92303
Chicago Executive,647,-87.9015376,92303
Chicago Midway Intl,620,-87.752417,92303
Chicago Ohare Intl,668,-87.904842,92303
Chicago Rockford International Airport,742,-89.0972222,92303
Chico Muni,238,-121.858422,92303
Chignik Bay Seaplane Base,0,-158.401398,92303
Chignik Lagoon Airport,25,-158.534167,92303
Chignik Lake Airport,50,-158.775278,92303
Childress Muni,1954,-100.287992,92303
China Lake Naws,2283,-117.692039,92303
Chinle Municipal Airport,5547,-109.5754222,92303
Chippewa County International Airport,800,-84.4724,92303
Chippewa Valley Regional Airport,913,-91.4843,92303
Chisana Airport,1011,-142.048333,92303
Chisholm Hibbing,1353,-92.838994,92303
Chuathbaluk Airport,243,-159.215556,92303
Cincinnati Muni Lunken Fld,483,-84.418611,92303
Cincinnati Northern Kentucky Intl,896,-84.667822,92303
Circle City Airport,613,-144.076111,92303
City Of Colorado Springs Muni,6187,-104.700778,92303
Clarke CO,320,-88.4434,92303
Clarksville-Montgomery County Regional Airport,550,-87.415,92303
Clayton County Tara Field,874,-84.332397,92303
Clear,552,-149.120144,92303
Clear Lake Metroport,35,-95.137497,92303
Clearwater Air Park,70,-82.7586667,92303
Clemson,891,-82.8858889,92303
Cleveland Hopkins Intl,791,-81.849794,92303
Clinton Municipal,708,-90.3289722,92303
Clovis Muni,4216,-103.079278,92303
Clow International Airport,670,-88.1292306,92303
Cobb County Airport-Mc Collum Field,1041,-84.5970556,92303
Coffman Cove Seaplane Base,0,-132.833889,92303
Cold Bay,96,-162.725436,92303
Coldfoot Airport,1014,-150.176111,92303
Coleman A Young Muni,626,-83.009861,92303
Collin County Regional Airport at Mc Kinney,585,-96.5905278,92303
Colorado Springs East,6145,-104.41,92303
Columbia County,198,-73.7103,92303
Columbia Metropolitan,236,-81.119528,92303
Columbia Rgnl,889,-92.219631,92303
Columbus Afb,219,-88.443833,92303
Columbus Metropolitan Airport,397,-84.9388611,92303
Concord Municipal,342,-71.50233,92303
Condron Aaf,3934,-106.40277,92303
Coolidge Municipal Airport,1574,-111.427001953125,92303
Corpus Christi Intl,44,-97.501222,92303
Corpus Christi NAS,18,-97.290376,92303
Cortez Muni,5918,-108.628056,92303
Corvallis Muni,250,-123.2915,92303
Cottonwood Airport,3550,-112.035003662109,92303
Cotulla Lasalle Co,474,-99.220294,92303
Coulter Fld,367,-96.331361,92303
Council Airport,85,-163.703333,92303
County,34,-80.851111,92303
Covington Municipal Airport,809,-83.8474472,92303
Coweta County Airport,970,-84.7697554,92303
Craig Fld,166,-86.987803,92303
Craig Seaplane Base,0,-133.147778,92303
Craven Co Rgnl,18,-77.042944,92303
Creech Afb,3133,-115.673353,92303
Crisp County Cordele Airport,310,-83.7739167,92303
Crooked Creek Airport,178,-158.135,92303
Cross City,42,-83.10475,92303
Crystal Airport,869,-93.2114,92303
Crystal River,9,-82.5741111,92303
Cut Bank Muni,3854,-112.376144,92303
Cuyahoga County,879,-81.4863555,92303
Dade Collier Training And Transition,13,-80.897,92303
Dalhart Muni,3991,-102.547278,92303
Dallas Executive Airport,201,-96.868333,92303
Dallas Fort Worth Intl,607,-97.037997,92303
Dallas Love Fld,487,-96.851778,92303
Dalton Municipal Airport,709,-84.87025,92303
Danbury Municipal Airport,458,-73.4821906,92303
Dane Co Rgnl Truax Fld,887,-89.337514,92303
Daniel Field Airport,423,-82.0393808,92303
Dare County Regional,13,-75.4173,92303
Darlington County Jetport,192,-79.8900608,92303
David Wayne Hooks Field,152,-95.554276,92303
Davis Fld,612,-95.366656,92303
Davis Monthan Afb,2704,-110.883144,92303
Dawson Community Airport,749,-104.807222,92303
Dayton-Wright Brothers Airport,957,-84.2248611,92303
Daytona Beach Intl,34,-81.058056,92303
De Kalb Taylor Municipal Airport,914,-88.7056864,92303
DeFuniak Springs Airport,289,-86.1537778,92303
Deadhorse,64,-148.465167,92303
Decatur,682,-88.865689,92303
Decatur County Industrial Air Park,141,-84.6369278,92303
Deer Harbor Seaplane,0,-123.00596,92303
Deer Valley Municipal Airport,1478,112.457,92303
Deering Airport,21,-162.766,92303
Dekalb-Peachtree Airport,1003,-84.3019722,92303
Del Norte County Airport,57,-124.237,92303
Del Rio Intl,1002,-100.927158,92303
Delaware County Airport,937,-85.39575,92303
Dell Flight Strip,6007,-112.7200133,92303
Delta County Airport,609,-87.093611,92303
Delta Municipal Airport,4759,-112.5077147,92303
Denver Intl,5431,-104.673178,92303
Des Moines Intl,958,-93.663083,92303
Desert Aire,586,-119.5518,92303
Destin,23,-86.4714772,92303
Detroit Metro Wayne Co,645,-83.353389,92303
Devils Lake Regional Airport,1445,-98.908611,92303
Dickinson Theodore Roosevelt Regional Airport,2592,-102.801944,92303
Dillant Hopkins Airport,149,42.898333,92303
Dillingham,14,-158.197281,92303
Dillingham,74,-158.5055,92303
Dinwiddie County Airport,193,-77.507388,92303
Dobbins Arb,1068,-84.516319,92303
Dodge City Regional Airport,2594,-99.9656,92303
Door County Cherryland Airport,725,-87.4215556,92303
Dothan Rgnl,401,-85.449628,92303
Douglas Municipal Airport,257,-82.8605664,92303
Douglas Municipal Airport,4173,-109.5064544,92303
Dover Afb,28,-75.465958,92303
Dowagiac Municipal Airport,748,-86.1280125,92303
Downtown,759,-94.598889,92303
Drake Fld,1251,-94.170059,92303
Draughon Miller Central Texas Rgnl,682,-97.407778,92303
Drummond Island Airport,668,-83.7439342,92303
DuBois Regional Airport,1817,-78.8987,92303
Dubuque Rgnl,1076,-90.709472,92303
Duluth Intl,1428,-92.193649,92303
Dupage,758,-88.248611,92303
Durango La Plata Co,6685,-107.75377,92303
Dyess Afb,1789,-99.8546,92303
Eagle Airport,908,-141.149722,92303
Eagle Co Rgnl,6540,-106.917694,92303
Eagle County Airport,6548,-106.9159347,92303
Eagle River,1642,-89.268283,92303
Eagle's Nest Airport,1437,-78.944167,92303
Eareckson As,98,174.11362,92303
East 34th Street Heliport,10,-73.971944,92303
East Texas Rgnl,365,-94.711486,92303
East Troy Municipal Airport,860,-88.3726111,92303
Eastern Oregon Regional Airport,1497,-118.841389,92303
Eastern Slopes Regional,455,-70.9478889,92303
Eastern WV Regional Airport,554,-77.591,92303
Easterwood Fld,321,-96.363833,92303
Easton-Newnam Field Airport,72,-76.069,92303
Eastport Municipal Airport,45,-67.0126944,92303
Edward F Knapp State,1165,-72.562328,92303
Edward G Pitka Sr,152,-156.937417,92303
Edwards Afb,2302,-117.883739,92303
Eek Airport,15,-162.043889,92303
Effingham Memorial Airport,585,-88.534,92303
Egegik Airport,92,-157.375556,92303
Eglin Afb,87,-86.5254,92303
Eielson Afb,548,-147.1015,92303
Ekwok Airport,135,-157.471111,92303
El Centro Naf,-42,-115.671667,92303
El Paso Intl,3958,-106.377583,92303
El Toro,383,-117.731164,92303
Elfin Cove Seaplane Base,0,-136.3475,92303
Elim Airport,162,-162.270556,92303
Elizabeth City Cgas Rgnl,12,-76.174572,92303
Elizabethton Municipal Airport,1593,-82.1734167,92303
Elkhart Municipal,778,-86.003333,92303
Elkins Randolph Co Jennings Randolph,1987,-79.857139,92303
Elko Regional Airport,5140,-115.792,92303
Ellington Fld,32,-95.15875,92303
Ellsworth Afb,3279,-103.103567,92303
Elmendorf Afb,212,-149.806503,92303
Elmira Corning Rgnl,954,-76.891611,92303
Ely Airport,6259,-114.841944,92303
Ely Municipal,1456,-91.830833,92303
Emanuel Co,327,-82.369944,92303
Emmonak Airport,13,-164.490833,92303
Emporia Municipal Airport,1208,-96.1912,92303
Ephraim-Gibraltar Airport,773,-87.1879444,92303
Eppley Afld,984,-95.894069,92303
Erie Intl Tom Ridge Fld,733,-80.176217,92303
Erie-Ottawa Regional Airport,590,-82.8694868,92303
Ernest A Love Fld,5045,-112.419583,92303
Esler Rgnl,112,-92.295772,92303
Evanston-Uinta CO Burns Fld,7143,-111.0208,92303
Evansville Regional,418,-87.532364,92303
Everglades Airpark,5,-81.3902778,92303
Excursion Inlet Seaplane Base,0,-135.449167,92303
Executive,113,-81.332936,92303
Executive,160,-81.528889,92303
Fairbanks Intl,434,-147.856267,92303
Fairchild Afb,2461,-117.655772,92303
Fairfield County Airport,577,-81.108806,92303
Fallon Nas,3934,-118.70098,92303
Falls Intl,1185,-93.403067,92303
False Pass Airport,20,-163.410278,92303
Fayetteville Regional Grannis Field,189,-78.8803,92303
Felker Aaf,12,-76.608841,92303
Felts Fld,1953,-117.322558,92303
Fernandina Beach Municipal Airport,16,-81.4611944,92303
Ferry County Airport,2522,-118.6564714,92303
Findlay Airport,819,-83.6686111,92303
Finger Lakes Regional Airport,492,-76.7812318,92303
First Flight Airport,13,-75.67,92303
Fitchburg Municipal Airport,348,-71.7589722,92303
Fitzgerald Municipal Airport,365,-83.2709036,92303
Flabob Airport,764,-117.409971,92303
Flagler County Airport,33,-81.1212,92303
Flagstaff Pulliam Airport,7015,-111.6692392,92303
Florence,51,-124.1113687,92303
Florence Rgnl,146,-79.723889,92303
Florida Keys Marathon Airport,7,-81.051389,92303
Floyd Bennett Memorial Airport,328,-73.610305,92303
Flying Cloud Airport,906,-93.2726,92303
Fond Du Lac County Airport,808,-88.4884167,92303
Foothills Regional Airport,1270,-81.6115119,92303
Forbes Fld,1078,-95.663611,92303
Ford Airport,1182,-88.1145556,92303
Forest Lake Airport,925,-92.9943853,92303
Fort Bridger,7038,-110.2436,92303
Fort Collins Loveland Muni,5016,-105.011336,92303
Fort Dodge Rgnl,1157,-94.191842,92303
Fort Jefferson,0,-82.86667,92303
Fort Lauderdale Executive,13,-80.170706,92303
Fort Lauderdale Hollywood Intl,9,-80.15275,92303
Fort Smith Rgnl,469,-94.367444,92303
Fort Stockton Pecos Co,3011,-102.916139,92303
Fort Wayne,815,-85.195139,92303
Fort Worth Alliance Airport,722,-97.318889,92303
Fort Worth Meacham Intl,710,-97.362444,92303
Fort Yukon,433,-145.250417,92303
Fortman Airport,885,-84.3866186,92303
Foster Field,990,-90.1693889,92303
Fostoria Metropolitan Airport,752,-83.3930833,92303
Four Corners Rgnl,5506,-108.229944,92303
Francis S Gabreski,67,-72.631789,92303
Frank Wiley Field,2630,-105.886,92303
Franklin,1540,-79.860362,92303
Frasca Field,735,-88.200197,92303
Frazier Lake Airpark,152,-124.768333333333,92303
Fredericksburg Amtrak Station,130,-77.456875,92303
French Valley Airport,1350,-117.1284732,92303
Fresno Yosemite Intl,336,-119.71814,92303
Friday Harbor Airport,113,-123.024444,92303
Friday Harbor Seaplane Base,0,-123.009722,92303
Friedman Mem,5320,-114.296194,92303
Fullerton Municipal Airport,96,-117.584722,92303
Fulton County Airport Brown Field,841,-84.5214,92303
Funter Bay Seaplane Base,0,-134.897778,92303
Furnace Creek,0,-116.515,92303
Gainesville Rgnl,152,-82.271778,92303
Galion Municipal Airport,1224,-82.7238056,92303
Gallatin Field,4500,-111.160151,92303
Gallup Muni,6472,-108.789308,92303
Galt Field Airport,875,-88.3751111,92303
Gambell Airport,27,-171.733,92303
Garden City Rgnl,2891,-100.724417,92303
Garfield County Regional Airport,5548,-107.7269444,92303
Garland Airport,1218,-84.2761944,92303
Garner Field,942,-99.748962,92303
Gary Chicago International Airport,591,-87.4128,92303
General Edward Lawrence Logan Intl,19,-71.005181,92303
